day,population,activities,time,time_in_minutes
Year 2014_Monday til Friday,All,Personal care,11:07,667
Year 2014_Monday til Friday,All,Sleep,8:26,506
Year 2014_Monday til Friday,All,Eating,1:47,107
Year 2014_Monday til Friday,All,Other personal care,0:56,56
Year 2014_Monday til Friday,All,Employment,7:37,457
Year 2014_Monday til Friday,All, Main job,7:47,467
Year 2014_Monday til Friday,All, Job seeking,2:35,155
Year 2014_Monday til Friday,All, Second job,4:12,252
Year 2014_Monday til Friday,All,Study,6:26,386
Year 2014_Monday til Friday,All, School or university,5:44,344
Year 2014_Monday til Friday,All, Homework,2:05,125
Year 2014_Monday til Friday,All, Free time study,1:33,93
Year 2014_Monday til Friday,All,Household and family care,2:59,179
Year 2014_Monday til Friday,All, Food management,1:05,65
Year 2014_Monday til Friday,All, Household upkeep,1:05,65
Year 2014_Monday til Friday,All, Making and care for textiles,0:55,55
Year 2014_Monday til Friday,All, Gardening and pet care,1:13,73
Year 2014_Monday til Friday,All, Construction and repairs,1:50,110
Year 2014_Monday til Friday,All, Shopping and services (excluding online services),1:07,67
Year 2014_Monday til Friday,All, Household management (excluding online services),0:42,42
Year 2014_Monday til Friday,All, Childcare (less than 17 years) ,1:44,104
Year 2014_Monday til Friday,All, Help to an adult household member ,1:35,95
Year 2014_Monday til Friday,All,Voluntary work and meetings,2:17,137
Year 2014_Monday til Friday,All, Organisational work ,2:33,153
Year 2014_Monday til Friday,All, Informal help to other households,2:00,120
Year 2014_Monday til Friday,All,Participatory activities,2:00,120
Year 2014_Monday til Friday,All,Social life and entertainment  ,1:08,68
Year 2014_Monday til Friday,All, Sociability,0:38,38
Year 2014_Monday til Friday,All, Visiting and receiving visitors,1:19,79
Year 2014_Monday til Friday,All, Culture,2:09,129
Year 2014_Monday til Friday,All, Entertainment ,1:50,110
Year 2014_Monday til Friday,All, Resting — Time out,0:28,28
Year 2014_Monday til Friday,All,Sports and outdoor activities ,1:42,102
Year 2014_Monday til Friday,All, Sports,1:40,100
Year 2014_Monday til Friday,All,Outdoor activities ,3:34,214
Year 2014_Monday til Friday,All,Hobbies and games,1:29,89
Year 2014_Monday til Friday,All, Arts,1:27,87
Year 2014_Monday til Friday,All, Collecting,0:50,50
Year 2014_Monday til Friday,All, Computing,1:16,76
Year 2014_Monday til Friday,All, Games,1:24,84
Year 2014_Monday til Friday,All,Media,2:30,150
Year 2014_Monday til Friday,All, Reading,0:56,56
Year 2014_Monday til Friday,All," TV, video and dvd",2:18,138
Year 2014_Monday til Friday,All," Listening to radio, music",0:38,38
Year 2014_Monday til Friday,All,Travel,1:39,99
Year 2014_Monday til Friday,All, Travel related to eating,0:31,31
Year 2014_Monday til Friday,All, Travel to/from work,1:06,66
Year 2014_Monday til Friday,All, Travel related to study,1:16,76
Year 2014_Monday til Friday,All, Travel related to household care,0:56,56
Year 2014_Monday til Friday,All, Travel related to voluntary work and meetings ,0:49,49
Year 2014_Monday til Friday,All, Travel related to social life,0:57,57
